,Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season
0,아스날,4,79,68,41,37.1,26.5,2013-2014
1,아스톤 빌라,15,38,39,61,11.74,24.4,2013-2014
2,카디프,20,30,32,74,42.08,25.2,2013-2014
3,첼시,3,82,71,27,52.42,27.3,2013-2014
4,크리스탈 팰리스,11,45,33,48,33.0,27.7,2013-2014
5,에버튼,5,72,61,39,-14.3,27.2,2013-2014
6,풀럼,19,32,40,85,25.15,28.6,2013-2014
7,헐시티,16,37,38,53,30.22,27.4,2013-2014
8,리버풀,2,84,101,50,25.6,25.3,2013-2014
9,맨시티,1,86,102,37,104.2,27.5,2013-2014
10,맨유,7,64,64,43,75.33,26.5,2013-2014
11,뉴캐슬,10,49,43,59,-22.07,26.2,2013-2014
12,노리치,18,33,28,62,25.22,26.2,2013-2014
13,사우스햄튼,8,56,54,46,35.4,24.6,2013-2014
14,스토크시티,9,50,45,52,7.0,27.3,2013-2014
15,선더랜드,14,38,41,60,11.53,26.2,2013-2014
16,스완지,12,42,54,54,26.61,26.2,2013-2014
17,토트넘,6,69,55,51,-15.85,25.0,2013-2014
18,웨스트 브로미치,17,36,43,59,4.3,27.7,2013-2014
19,웨스트햄,13,40,40,51,23.47,28.4,2013-2014
20,아스날,3,75,71,36,91.18,25.9,2014-2015
21,아스톤 빌라,17,38,31,57,12.14,26.2,2014-2015
22,번리,19,33,28,53,12.62,27.0,2014-2015
23,첼시,1,87,73,32,-5.11,27.0,2014-2015
24,크리스탈 팰리스,10,48,47,51,28.35,27.5,2014-2015
25,에버튼,11,47,48,50,38.26,27.7,2014-2015
26,헐시티,18,35,33,51,29.52,27.0,2014-2015
27,레스터시티,14,41,46,55,22.86,27.5,2014-2015
28,리버풀,6,62,52,48,52.16,25.3,2014-2015
29,맨시티,2,79,83,38,72.5,28.7,2014-2015
30,맨유,4,70,62,37,148.65,25.7,2014-2015
31,뉴캐슬,15,39,40,63,21.15,25.6,2014-2015
32,QPR,20,30,42,73,17.5,28.0,2014-2015
33,사우스햄튼,7,60,54,33,-27.83,25.6,2014-2015
34,스토크시티,9,54,48,45,-2.0,27.5,2014-2015
35,선더랜드,16,38,31,53,15.27,27.5,2014-2015
36,스완지,8,56,46,49,-20.37,26.4,2014-2015
37,토트넘,5,64,58,53,4.33,24.5,2014-2015
38,웨스트 브로미치,13,44,38,51,22.58,27.9,2014-2015
39,웨스트햄,12,47,44,47,30.75,27.1,2014-2015
40,본머스,16,42,45,67,54.46,27.5,2015-2016
41,아스날,2,71,65,36,24.0,26.6,2015-2016
42,아스톤 빌라,20,17,27,76,1.85,26.2,2015-2016
43,첼시,10,50,59,53,9.01,26.4,2015-2016
44,크리스탈 팰리스,15,42,39,51,23.4,27.5,2015-2016
45,에버튼,11,47,59,55,37.2,26.5,2015-2016
46,레스터시티,1,81,68,36,40.45,27.3,2015-2016
47,리버풀,8,60,63,50,35.95,24.9,2015-2016
48,맨시티,4,66,71,41,141.03,27.8,2015-2016
49,맨유,5,66,49,35,55.33,25.4,2015-2016
50,뉴캐슬,18,37,44,65,102.48,25.2,2015-2016
51,노리치,19,34,39,67,29.01,27.7,2015-2016
52,사우스햄튼,6,63,59,41,7.4,26.0,2015-2016
53,스토크시티,9,51,41,55,30.45,27.5,2015-2016
54,선더랜드,17,39,48,62,55.05,27.2,2015-2016
55,스완지,12,47,42,52,5.01,27.5,2015-2016
56,토트넘,3,70,69,35,-16.25,24.2,2015-2016
57,왓포드,13,45,40,50,73.05,28.1,2015-2016
58,웨스트 브로미치,14,43,34,48,29.98,28.6,2015-2016
59,웨스트햄,7,62,65,51,34.19,26.4,2015-2016
60,본머스,9,46,55,67,17.0,26.4,2016-2017
61,아스날,5,75,77,44,102.65,26.6,2016-2017
62,번리,16,40,39,55,44.4,27.4,2016-2017
63,첼시,1,93,85,33,23.9,27.0,2016-2017
64,크리스탈 팰리스,14,41,50,63,51.0,27.8,2016-2017
65,에버튼,7,61,62,44,25.2,27.2,2016-2017
66,헐시티,18,34,37,80,11.1,27.2,2016-2017
67,레스터시티,12,44,48,63,26.05,27.3,2016-2017
68,리버풀,4,76,78,42,-5.48,25.6,2016-2017
69,맨시티,3,78,80,39,180.9,28.1,2016-2017
70,맨유,6,69,54,29,137.75,26.4,2016-2017
71,미들스브러,19,28,27,53,34.45,27.1,2016-2017
72,사우스햄튼,8,46,41,48,-16.15,25.8,2016-2017
73,스토크시티,13,44,41,56,38.37,28.6,2016-2017
74,선더랜드,20,24,29,69,18.13,26.5,2016-2017
75,스완지,15,41,45,70,8.8,27.3,2016-2017
76,토트넘,2,86,86,26,31.2,24.9,2016-2017
77,왓포드,17,40,40,68,12.35,28.4,2016-2017
78,웨스트 브로미치,10,45,43,51,10.93,28.9,2016-2017
79,웨스트햄,11,45,47,64,42.5,26.5,2016-2017
80,본머스,12,44,45,61,34.3,26.7,2017-2018
81,아스날,6,63,74,51,-9.15,26.5,2017-2018
82,브라이튼,15,40,34,54,66.1,27.4,2017-2018
83,번리,7,54,36,39,-14.26,27.3,2017-2018
84,첼시,5,70,62,38,65.9,26.6,2017-2018
85,크리스탈 팰리스,11,44,45,55,52.95,27.0,2017-2018
86,에버튼,8,49,44,58,76.82,26.3,2017-2018
87,허더스필드,16,37,28,58,50.3,26.2,2017-2018
88,레스터시티,9,47,56,60,33.75,26.8,2017-2018
89,리버풀,4,75,84,38,-10.85,25.5,2017-2018
90,맨시티,1,100,106,27,226.15,26.0,2017-2018
91,맨유,2,81,68,28,152.9,26.3,2017-2018
92,뉴캐슬,10,44,39,47,25.28,25.5,2017-2018
93,사우스햄튼,17,36,37,56,-37.1,26.0,2017-2018
94,스토크시티,19,33,35,68,22.56,27.5,2017-2018
95,스완지,18,33,28,56,-7.72,27.0,2017-2018
96,토트넘,3,77,74,36,17.2,25.8,2017-2018
97,왓포드,14,41,44,64,54.66,27.6,2017-2018
98,웨스트 브로미치,20,31,31,56,51.45,28.7,2017-2018
99,웨스트햄,13,42,48,68,-12.22,27.6,2017-2018
100,본머스,14,45,56,70,71.4,26.2,2018-2019
101,아스날,5,70,73,51,71.05,26.4,2018-2019
102,브라이튼,17,36,35,60,77.0,27.2,2018-2019
103,번리,15,40,45,68,25.0,27.9,2018-2019
104,카디프,18,34,34,69,51.2,27.3,2018-2019
105,첼시,3,72,63,39,125.55,27.1,2018-2019
106,크리스탈 팰리스,12,49,51,53,11.5,27.2,2018-2019
107,에버튼,8,54,54,46,71.15,25.5,2018-2019
108,풀럼,19,26,34,81,111.15,25.8,2018-2019
109,허더스필드,20,16,22,76,38.37,25.9,2018-2019
110,레스터시티,9,52,51,48,18.8,25.9,2018-2019
111,리버풀,2,97,89,22,140.88,26.2,2018-2019
112,맨시티,1,98,95,23,20.99,26.4,2018-2019
113,맨유,6,66,65,54,52.15,26.0,2018-2019
114,뉴캐슬,13,45,42,48,8.7,26.6,2018-2019
115,사우스햄튼,16,39,45,65,36.15,25.4,2018-2019
116,토트넘,4,71,67,39,-5.35,26.6,2018-2019
117,왓포드,11,50,52,59,-21.74,27.9,2018-2019
118,웨스트햄,10,52,52,55,87.14,27.7,2018-2019
119,울버햄튼,7,57,47,46,89.45,25.4,2018-2019
120,본머스,18,34,40,65,20.29,25.1,2019-2020
121,아스날,8,56,56,48,107.15,25.1,2019-2020
122,아스톤 빌라,17,35,41,67,156.5,25.6,2019-2020
123,브라이튼,15,41,39,54,53.24,26.4,2019-2020
124,번리,10,54,43,50,10.3,28.1,2019-2020
125,첼시,4,66,69,54,-112.27,25.3,2019-2020
126,크리스탈 팰리스,14,43,31,50,-47.78,29.0,2019-2020
127,에버튼,12,49,44,56,33.2,25.5,2019-2020
128,레스터시티,5,62,67,41,15.8,25.9,2019-2020
129,리버풀,1,99,85,33,-37.6,26.6,2019-2020
130,맨시티,2,81,102,35,98.82,26.7,2019-2020
131,맨유,3,66,66,36,155.62,24.7,2019-2020
132,뉴캐슬,13,44,38,58,37.26,26.5,2019-2020
133,노리치,20,21,26,75,6.62,25.9,2019-2020
134,셰필드,9,54,39,39,72.15,26.9,2019-2020
135,사우스햄튼,11,52,51,60,34.2,25.7,2019-2020
136,토트넘,6,59,61,47,86.0,26.2,2019-2020
137,왓포드,19,34,36,64,30.6,28.4,2019-2020
138,웨스트햄,16,39,49,62,64.32,27.4,2019-2020
139,울버햄튼,7,59,51,40,92.6,25.9,2019-2020
140,아스날,8,61,55,39,66.85,25.7,2020-2021
141,아스톤 빌라,11,55,55,46,98.58,25.0,2020-2021
142,브라이튼,16,41,40,46,29.5,25.8,2020-2021
143,번리,17,39,33,55,-1.2,28.4,2020-2021
144,첼시,4,67,58,36,190.05,25.8,2020-2021
145,크리스탈 팰리스,14,44,41,66,2.4,28.8,2020-2021
146,에버튼,10,59,47,48,69.95,26.4,2020-2021
147,풀럼,18,28,27,53,37.25,25.2,2020-2021
148,리즈,9,59,62,54,127.8,26.1,2020-2021
149,레스터시티,5,66,68,50,5.63,26.4,2020-2021
150,리버풀,3,69,68,42,66.85,26.8,2020-2021
151,맨시티,1,86,83,32,109.4,26.1,2020-2021
152,맨유,2,74,73,44,64.3,25.5,2020-2021
153,뉴캐슬,12,45,46,62,38.48,27.1,2020-2021
154,셰필드,20,23,20,63,62.7,26.5,2020-2021
155,사우스햄튼,15,43,47,68,11.0,26.1,2020-2021
156,토트넘,7,62,68,45,97.2,27.0,2020-2021
157,웨스트 브로미치,19,26,35,76,34.04,26.5,2020-2021
158,웨스트햄,6,65,62,47,9.29,27.7,2020-2021
159,울버햄튼,13,45,36,52,8.39,25.6,2020-2021
160,아스날,5,69,61,48,136.0,24.4,2021-2022
161,아스톤 빌라,14,45,52,54,2.8,25.9,2021-2022
162,브렌트포드,13,46,48,56,37.2,25.1,2021-2022
163,브라이튼,9,51,42,44,-3.8,26.0,2021-2022
164,번리,18,35,34,53,8.9,28.8,2021-2022
165,첼시,3,74,76,33,-30.94,27.1,2021-2022
166,크리스탈 팰리스,12,48,50,46,85.62,26.9,2021-2022
167,에버튼,16,39,43,66,-6.5,26.5,2021-2022
168,리즈,17,38,42,79,59.3,25.6,2021-2022
169,레스터시티,8,52,62,59,63.6,26.3,2021-2022
170,리버풀,2,92,94,26,57.45,27.7,2021-2022
171,맨시티,1,93,99,26,45.1,27.0,2021-2022
172,맨유,6,58,57,57,110.9,27.0,2021-2022
173,뉴캐슬,11,49,44,62,130.5,27.4,2021-2022
174,노리치,20,22,23,84,25.15,25.6,2021-2022
175,사우스햄튼,15,40,43,67,3.05,25.6,2021-2022
176,토트넘,4,71,69,40,61.28,26.1,2021-2022
177,왓포드,19,23,34,77,30.65,28.0,2021-2022
178,웨스트햄,7,56,60,51,70.27,28.0,2021-2022
179,울버햄튼,10,51,38,43,5.8,26.5,2021-2022
180,본머스,15,39,37,71,83.1,26.2,2022-2023
181,아스날,2,84,88,43,168.1,24.6,2022-2023
182,아스톤 빌라,7,61,51,46,46.14,26.9,2022-2023
183,브렌트포드,9,59,58,46,45.65,25.7,2022-2023
184,브라이튼,6,62,72,53,-82.2,25.7,2022-2023
185,첼시,12,44,38,47,543.63,25.9,2022-2023
186,크리스탈 팰리스,11,45,40,49,41.15,26.6,2022-2023
187,에버튼,17,36,34,57,-25.4,26.3,2022-2023
188,풀럼,10,52,55,53,50.3,27.9,2022-2023
189,리즈,19,31,48,78,36.89,25.1,2022-2023
190,레스터시티,18,34,51,68,-32.4,26.3,2022-2023
191,리버풀,5,67,75,47,61.6,27.2,2022-2023
192,맨시티,1,89,94,33,-7.17,26.7,2022-2023
193,맨유,3,75,58,43,219.63,26.6,2022-2023
194,뉴캐슬,4,71,68,33,171.29,27.0,2022-2023
195,노팅엄,16,38,38,68,190.25,26.5,2022-2023
196,사우스햄튼,20,25,36,73,146.61,24.6,2022-2023
197,토트넘,8,60,70,63,139.15,27.1,2022-2023
198,웨스트햄,14,40,42,55,164.95,27.9,2022-2023
199,울버햄튼,13,41,31,58,114.24,26.5,2022-2023
